0.02834
   0.00000   0.00000   0.00000  N
   0.00000   0.00000   0.00000  C
   0.00000   0.00000   0.00000  H
   0.00000   0.00000   0.00000  N
  -0.00841  -0.05680  -0.00024  C
  -0.01052   0.81511  -0.00205  C
  -0.00605  -0.49687   0.00064  O
   0.03822  -0.11404   0.00728  N
  -0.13488   0.14984  -0.01106  H
   0.00661   0.00683  -0.00551  C
   0.00000   0.00000   0.00000  N
   0.00000   0.00000   0.00000  H
   0.00000   0.00000   0.00000  H
   0.00000   0.00000   0.00000  N
   0.00000   0.00000   0.00000  C
