# f       1
 -2.143386E+00  1.276108E+00 -6.183416E-01
 -2.467471E-01 -1.269134E+00  6.340464E-01
 -2.141653E+00 -1.643102E-01 -1.411108E+00
  1.252614E+00  2.077506E-01 -6.792630E-01
  2.526216E+00  4.095773E-01  2.353269E-01
 -9.619108E-01 -2.171684E+00  9.815377E-01
  1.058580E+00 -1.162523E+00 -2.032941E+00
  1.670571E-01 -6.713803E-01  1.262909E+00
# f       9
  1.790407E+00 -1.824475E+00  2.657676E-01
  5.723111E-01  1.425602E-01 -2.501407E+00
  4.485611E-01 -1.099837E+00  8.140952E-01
 -2.364606E+00  2.879630E-01  9.646839E-01
  1.002727E+00 -2.333860E+00  3.905580E-01
  7.149732E-01 -1.248264E+00  6.519188E-02
 -1.994234E+00  1.364923E+00 -8.745946E-01
 -2.028898E-01 -1.246927E+00  6.910932E-01
 -2.151885E+00 -3.564800E-01 -1.359122E+00
  1.257693E+00  1.986400E-01 -6.725691E-01
  2.522336E+00  4.426989E-01  2.161943E-01
 -8.265868E-01 -2.264567E+00  8.907244E-01
  1.060586E+00 -1.065473E+00 -2.084425E+00
  1.026256E-01 -7.723927E-01  1.210982E+00
# f      10
  1.963294E+00 -1.614748E+00  3.781068E-01
  6.302623E-01  9.912292E-02 -2.489547E+00
  4.669697E-01 -1.075413E+00  8.360778E-01
 -2.333380E+00  2.928582E-01  1.036567E+00
  1.206055E+00 -2.257681E+00  2.306685E-01
  6.875483E-01 -1.258477E+00  1.308167E-01
 -2.034608E+00  1.319367E+00 -8.511988E-01
 -8.772752E-02 -1.254931E+00  7.007503E-01
 -2.166630E+00 -4.779204E-01 -1.296998E+00
  1.300370E+00  9.760648E-02 -6.108276E-01
  2.526499E+00  4.441443E-01  1.563251E-01
 -9.862632E-01 -2.249888E+00  7.551096E-01
  1.063385E+00 -8.827010E-01 -2.166784E+00
  8.182493E-02 -7.469147E-01  1.228423E+00
